1km,5km,10km,15km,20km,25km,30km,35km,40km,42.195km
3.05,15.23,30.46,46.08,01:01.3,01:16.5,01:32.2,01:47.4,02:03.0, 2:10
3.12,15.58,31.57,47.55,01:03.5,01:19.5,01:35.5,01:51.5,02:07.9, 2:15
3.19,16.34,33.08,49.41,01:06.2,01:22.5,01:39.2,01:55.6,02:12.3, 2:20
3.26,17.11,34.22,51.33,01:08.4,01:25.6,01:43.1,02:00.2,02:17.3, 2:25
3.33,17.46,35.33,53.19,01:11.1,01:28.5,01:46.4,02:04.3,02:22.1, 2:30
3.4,18.22,36.44,55.06,01:13.3,01:31.5,01:50.1,02:08.3,02:26.6, 2:35
3.47,18.58,37.55,56.53,01:15.5,01:34.5,01:53.5,02:12.4,02:31.4, 2:40
3.55,19.33,39.06,58.4,01:18.1,01:37.5,01:57.2,02:16.5,02:36.3, 2:45
4.02,20.08,40.17,01:00.3,01:20.4,01:40.4,02:00.5,02:21.1,02:41.1, 2:50
4.09,20.44,41.28,01:02.1,01:22.6,01:43.4,02:04.3,02:25.1,02:45.5, 2:55
4.16,21.2,42.04,01:03.6,01:25.2,01:46.4,02:07.6,02:29.2,02:50.4, 3:00
4.23,21.55,43.05,01:05.5,01:27.4,01:49.4,02:11.3,02:33.3,02:55.2, 3:05
4.3,22.31,44.02,01:07.3,01:30.0,01:52.3,02:15.1,02:37.4,03:00.1, 3:10
4.37,23.07,46.13,01:09.2,01:32.3,01:55.3,02:18.4,02:41.5,03:04.5, 3:15
4.44,23.42,47.24,01:11.1,01:34.5,01:58.3,02:22.1,02:45.5,03:09.4, 3:20
4.52,24.17,48.35,01:12.5,01:37.1,02:01.3,02:25.5,02:50.0,03:14.2, 3:25
4.59,24.53,49.46,01:14.4,01:39.3,02:04.3,02:29.2,02:54.1,03:19.1, 3:30
5.06,25.29,50.57,01:16.3,01:41.6,02:07.2,02:32.5,02:58.2,03:23.5, 3:35
5.13,26.04,52.08,01:18.1,01:44.2,02:10.2,02:36.3,03:02.3,03:28.3, 3:40
5.2,26.4,53.19,01:19.6,01:46.4,02:13.2,02:39.6,03:06.4,03:33.2, 3:45
5.27,27.15,54.31,01:21.5,01:49.0,02:16.2,02:43.3,03:10.5,03:38.0, 3:50
5.34,27.51,55.41,01:23.3,02:51.2,02:19.1,02:47.1,03:14.6,03:42.5, 3:55
5.41,28.26,56.53,01:25.2,01:53.5,02:22.1,02:50.4,03:19.1,03:47.3, 4:00
5.49,29.02,58.04,01:27.1,01:56.1,02:25.1,02:54.1,03:23.1,03:52.2, 4:05
5.55,29.37,59.15,01:28.5,01:58.3,02:28.1,02:57.5,03:27.2,03:56.6, 4:10
6.02,30.13,01:00.3,01:30.4,02:00.5,02:31.1,03:01.2,03:31.3,04:01.4, 4:15
6.1,30.49,01:01.4,01:32.3,02:03.1,02:34.0,03:04.5,03:35.4,04:06.3, 4:20
6.17,31.24,01:02.5,01:34.1,02:05.4,02:37.1,03:08.3,03:39.5,04:11.1, 4:25
6.24,31.59,01:03.6,01:35.6,02:07.6,02:39.6,03:11.6,03:43.6,04:15.6, 4:30
6.31,32.35,01:05.1,01:37.5,02:10.2,02:42.6,03:15.3,03:48.1,04:20.4, 4:35
6.38,33.11,01:06.2,01:39.3,02:12.4,02:45.5,03:19.1,03:52.2,04:25.3, 4:40
6.45,33.46,01:07.3,01:41.2,02:15.1,02:48.5,03:22.4,03:56.2,04:30.1, 4:45
6.52,34.22,01:08.4,01:43.1,02:17.3,02:51.5,03:26.1,04:00.3,04:34.6, 4:50
6.59,34.58,01:09.6,01:44.5,02:19.5,02:54.5,03:29.4,04:04.4,04:39.4, 4:55
7.07,35.33,01:11.1,01:46.4,02:22.1,02:57.5,03:33.2,04:08.5,04:44.2, 5:00
7.14,35.08,01:12.2,01:48.3,02:24.3,03:00.4,03:36.5,04:12.6,04:49.1, 5:05
7.21,36.44,01:13.3,01:50.1,02:26.6,03:03.4,03:40.3,04:17.1,04:53.5, 5:10
7.28,37.2,01:14.4,01:51.6,02:29.2,03:06.4,03:43.6,04:21.2,04:58.4, 5:15
7.35,37.55,01:15.5,01:53.5,02:31.4,03:09.4,03:47.3,04:25.3,05:03.2, 5:20
7.42,38.31,01:17.0,01:55.3,02:34.0,03:12.3,03:51.0,04:29.4,05:08.1, 5:25
7.49,39.06,01:18.1,01:57.2,02:36.3,03:15.3,03:54.4,04:33.4,05:12.5, 5:30
7.56,39.42,01:19.2,01:59.1,02:38.5,03:18.3,03:58.1,04:37.5,05:17.3, 5:35
8.04,40.17,01:20.4,02:00.5,02:41.1,03:21.3,04:01.4,04:42.0,05:22.2, 5:40
8.11,40.53,01:21.5,02:02.4,02:43.3,03:24.3,04:05.2,04:46.1,05:27.0, 5:45
8.17,41.28,01:22.6,02:04.3,02:45.5,03:27.2,04:08.5,04:50.2,05:31.5, 5:50
8.25,42.04,01:24.1,02:06.1,02:48.2,03:30.2,04:12.2,04:54.3,05:36.3, 5:55
8.32,42.4,01:25.2,02:07.6,02:50.4,03:33.2,04:15.6,04:58.4,05:41.2, 6:00
